,Num_Acc,date,an,mois,jour,hrmn,dep,com,lat,long,agg,int,col,lum,atm,catr,circ,nbv,prof,plan,lartpc,larrout,surf,infra,situ,grav,sexe,age,trajet,secuexist,equipement,obs,obsm,choc,manv,vehiculeid,typevehicules,manoeuvehicules,numVehicules,statut_heure,statut_coord
0,200500003153,2005-01-06,2005,janvier,jeudi,17:15,33,33063,0.0,0.0,En agglomération,Intersection en T,3.0,Plein jour,Normale,4,A sens unique,1.0,Plat,1.0,0,30,Normale,0.0,Sur chaussée,Blessé hospitalisé,Masculin,13.0,Non renseigné,3,2,0.0,2.0,9.0,1.0,200500003153B01,7,16,1.0,Cohérente,Non cohérentes
1,200500003162,2005-01-11,2005,janvier,mardi,14:55,33,33063,0.0,0.0,En agglomération,Intersection en T,6.0,Plein jour,Normale,4,A sens unique,1.0,Plat,1.0,0,50,Normale,0.0,Sur chaussée,Blessé léger,Féminin,25.0,Non renseigné,3,2,0.0,2.0,8.0,19.0,200500003162B01,7,1,1.0,Cohérente,Non cohérentes
2,200500003179,2005-01-13,2005,janvier,jeudi,17:00,33,33063,0.0,0.0,En agglomération,Hors intersection,3.0,Plein jour,Normale,4,Non renseigné,0.0,Plat,2.0,0,68,Normale,0.0,Aucun,Blessé léger,Masculin,13.0,Non renseigné,3,2,0.0,2.0,0.0,1.0,200500003179B01,7,15,1.0,Cohérente,Non cohérentes
3,200500003185,2005-01-15,2005,janvier,samedi,22:20,33,33063,0.0,0.0,En agglomération,Hors intersection,1.0,Nuit avec éclairage public allumé,Normale,4,Non renseigné,0.0,Plat,1.0,0,0,Normale,0.0,Sur chaussée,Blessé léger,Féminin,24.0,Promenade - loisirs,2,2,0.0,0.0,1.0,1.0,200500003185B01,7,1,1.0,Cohérente,Non cohérentes
4,200500003200,2005-01-18,2005,janvier,mardi,15:20,33,33063,0.0,0.0,En agglomération,Intersection en T,6.0,Plein jour,Normale,4,Bidirectionnelle,2.0,Plat,1.0,0,93,Normale,0.0,Sur chaussée,Blessé léger,Féminin,21.0,Non renseigné,3,9,0.0,2.0,1.0,1.0,200500003200B01,7,15,1.0,Cohérente,Non cohérentes
5,200500003243,2005-01-31,2005,janvier,lundi,85:5,33,33063,0.0,0.0,En agglomération,Intersection en X,5.0,Plein jour,Normale,4,A sens unique,1.0,Plat,1.0,0,31,Normale,0.0,Sur chaussée,Blessé léger,Féminin,19.0,Non renseigné,3,2,0.0,2.0,1.0,1.0,200500003243B01,7/ 18,1,2.0,Non cohérente,Non cohérentes
6,200500003244,2005-01-31,2005,janvier,lundi,17:05,33,33063,0.0,0.0,En agglomération,Intersection en T,1.0,Plein jour,Normale,4,A sens unique,1.0,Plat,1.0,0,0,Normale,0.0,Sur chaussée,Blessé léger,Masculin,24.0,Non renseigné,2,2,0.0,2.0,1.0,1.0,200500003244B01,7,15,1.0,Cohérente,Non cohérentes
7,200500003245,2005-01-31,2005,janvier,lundi,19:40,33,33063,0.0,0.0,En agglomération,Intersection en X,3.0,Nuit avec éclairage public allumé,Normale,4,A sens unique,1.0,Pente,1.0,0,0,Normale,0.0,Sur chaussée,Blessé léger,Masculin,39.0,Non renseigné,3,2,0.0,2.0,7.0,1.0,200500003245A01,7,1,1.0,Cohérente,Non cohérentes
8,200500003397,2005-01-13,2005,janvier,jeudi,73:0,38,38185,0.0,0.0,En agglomération,Hors intersection,3.0,Nuit avec éclairage public allumé,Normale,4,Bidirectionnelle,2.0,Plat,1.0,0,70,Mouillée,0.0,Sur chaussée,Blessé hospitalisé,Masculin,32.0,Autre,3,9,0.0,2.0,8.0,1.0,200500003397B01,7,15,1.0,Non cohérente,Non cohérentes
9,200500003400,2005-01-14,2005,janvier,vendredi,17:45,38,38185,0.0,0.0,En agglomération,Hors intersection,3.0,Nuit avec éclairage public allumé,Normale,4,Bidirectionnelle,0.0,Plat,1.0,0,0,Normale,0.0,Sur chaussée,Blessé léger,Féminin,23.0,Autre,1,2,0.0,2.0,2.0,1.0,200500003400B01,7,15,1.0,Cohérente,Non cohérentes
10,200500003415,2005-01-25,2005,janvier,mardi,90:5,38,38185,0.0,0.0,En agglomération,Intersection en T,3.0,Plein jour,Normale,4,A sens unique,2.0,Plat,1.0,0,69,Mouillée,0.0,Sur piste cyclable,Blessé léger,Féminin,23.0,Non renseigné,3,9,0.0,2.0,1.0,1.0,200500003415A01,7,15,1.0,Non cohérente,Non cohérentes
11,200500004394,2005-01-10,2005,janvier,lundi,18:15,67,67482,0.0,0.0,En agglomération,Hors intersection,6.0,Nuit avec éclairage public allumé,Normale,4,A sens unique,1.0,Plat,1.0,0,42,Normale,0.0,Sur chaussée,Blessé léger,Féminin,26.0,Promenade - loisirs,3,4,1.0,0.0,1.0,1.0,200500004394B01,7,22,1.0,Cohérente,Non cohérentes
12,200500004395,2005-01-10,2005,janvier,lundi,19:00,67,67482,0.0,0.0,En agglomération,Hors intersection,6.0,Nuit avec éclairage public allumé,Normale,4,A sens unique,1.0,Plat,1.0,0,35,Normale,0.0,Sur chaussée,Blessé léger,Masculin,56.0,Utilisation professionnelle,3,9,1.0,0.0,1.0,2.0,200500004395B01,7,22,1.0,Cohérente,Non cohérentes
13,200500004400,2005-01-13,2005,janvier,jeudi,75:0,67,67482,0.0,0.0,En agglomération,Intersection en X,3.0,Crépuscule ou aube,Normale,4,Bidirectionnelle,3.0,Plat,1.0,0,113,Normale,5.0,Sur chaussée,Blessé léger,Masculin,20.0,Domicile - école,1,4,0.0,2.0,8.0,19.0,200500004400A01,7,1,1.0,Non cohérente,Non cohérentes
14,200500004417,2005-01-22,2005,janvier,samedi,10:05,67,67482,0.0,0.0,En agglomération,Intersection en X,3.0,Plein jour,Normale,4,Bidirectionnelle,3.0,Plat,1.0,0,82,Normale,0.0,Sur chaussée,Blessé léger,Masculin,36.0,Domicile - travail,1,4,0.0,2.0,8.0,2.0,200500004417B01,7,16,1.0,Cohérente,Non cohérentes
15,200500004556,2005-01-10,2005,janvier,lundi,14:50,74,74010,0.0,0.0,En agglomération,Hors intersection,6.0,Plein jour,Normale,4,Non renseigné,1.0,Plat,-1.0,0,78,Normale,6.0,Sur chaussée,Indemne,Féminin,43.0,Autre,2,9,0.0,1.0,1.0,2.0,200500004556A01,,,,Cohérente,Non cohérentes
16,200500004556,2005-01-10,2005,janvier,lundi,14:50,74,74010,0.0,0.0,En agglomération,Hors intersection,6.0,Plein jour,Normale,4,Non renseigné,1.0,Plat,-1.0,0,78,Normale,6.0,Sur chaussée,Blessé hospitalisé,Féminin,72.0,Autre,3,0,0.0,1.0,1.0,2.0,200500004556A01,,,,Cohérente,Non cohérentes
17,200500007645,2005-02-01,2005,février,mardi,21:40,33,33063,0.0,0.0,En agglomération,Hors intersection,3.0,Nuit avec éclairage public allumé,Pluie légère,4,A sens unique,10.0,Plat,1.0,0,30,Mouillée,0.0,Sur chaussée,Blessé léger,Féminin,45.0,Non renseigné,3,2,1.0,0.0,0.0,0.0,200500007645B01,3,23,1.0,Cohérente,Non cohérentes
18,200500007677,2005-02-12,2005,février,samedi,16:10,33,33063,0.0,0.0,En agglomération,Intersection en X,5.0,Plein jour,Pluie forte,4,Bidirectionnelle,2.0,Plat,1.0,0,0,Mouillée,0.0,Sur chaussée,Blessé léger,Masculin,63.0,Promenade - loisirs,3,2,0.0,2.0,1.0,1.0,200500007677B01,7,1,1.0,Cohérente,Non cohérentes
19,200500007677,2005-02-12,2005,février,samedi,16:10,33,33063,0.0,0.0,En agglomération,Intersection en X,5.0,Plein jour,Pluie forte,4,Bidirectionnelle,2.0,Plat,1.0,0,0,Mouillée,0.0,Sur chaussée,Indemne,Masculin,34.0,Autre,3,2,0.0,2.0,1.0,1.0,200500007677C01,7,1,1.0,Cohérente,Non cohérentes
20,200500007680,2005-02-15,2005,février,mardi,17:00,33,33063,0.0,0.0,En agglomération,Hors intersection,3.0,Plein jour,Normale,4,A chaussées séparées,2.0,Plat,1.0,0,0,Normale,0.0,Sur chaussée,Blessé léger,Masculin,27.0,Non renseigné,3,2,0.0,2.0,1.0,19.0,200500007680A01,7,1,1.0,Cohérente,Non cohérentes
21,200500007682,2005-02-15,2005,février,mardi,20:00,33,33063,0.0,0.0,En agglomération,Intersection en X,3.0,Nuit avec éclairage public allumé,Pluie légère,4,A sens unique,2.0,Plat,1.0,0,65,Mouillée,0.0,Sur chaussée,Blessé léger,Féminin,49.0,Non renseigné,3,2,0.0,2.0,2.0,1.0,200500007682A01,10,16,1.0,Cohérente,Non cohérentes
22,200500007846,2005-02-18,2005,février,vendredi,17:30,38,38185,0.0,0.0,En agglomération,Hors intersection,3.0,Plein jour,Normale,4,Bidirectionnelle,3.0,Plat,1.0,0,84,Normale,0.0,Sur chaussée,Blessé hospitalisé,Masculin,29.0,Promenade - loisirs,3,9,0.0,2.0,3.0,15.0,200500007846A01,7,1,1.0,Cohérente,Non cohérentes
23,200500008541,2005-02-01,2005,février,mardi,14:05,67,67482,0.0,0.0,En agglomération,Hors intersection,6.0,Plein jour,Normale,6,A sens unique,2.0,Plat,1.0,0,100,Normale,0.0,Sur trottoir,Indemne,Masculin,23.0,Promenade - loisirs,3,9,0.0,1.0,1.0,2.0,200500008541A01,,,,Cohérente,Non cohérentes
24,200500008559,2005-02-10,2005,février,jeudi,17:55,67,67482,0.0,0.0,En agglomération,Hors intersection,5.0,Nuit avec éclairage public allumé,Pluie légère,4,Bidirectionnelle,2.0,Non renseigné,-1.0,0,100,Mouillée,0.0,Sur chaussée,Blessé léger,Féminin,32.0,Domicile - travail,3,9,0.0,2.0,3.0,19.0,200500008559B01,7,1/23,2.0,Cohérente,Non cohérentes
25,200500008567,2005-02-16,2005,février,mercredi,18:50,67,67482,0.0,0.0,En agglomération,Intersection en T,3.0,Nuit avec éclairage public allumé,Pluie légère,4,Bidirectionnelle,4.0,Plat,1.0,0,152,Mouillée,5.0,Sur chaussée,Blessé léger,Féminin,54.0,Domicile - travail,1,4,0.0,2.0,3.0,19.0,200500008567A01,7,15,1.0,Cohérente,Non cohérentes
26,200500008664,2005-02-08,2005,février,mardi,80:0,74,74010,0.0,0.0,En agglomération,Intersection en X,3.0,Plein jour,Normale,4,A chaussées séparées,2.0,Plat,1.0,90,20,Normale,0.0,Aucun,Blessé léger,Masculin,45.0,Domicile - travail,2,9,0.0,0.0,1.0,2.0,200500008664B01,7,13,1.0,Non cohérente,Non cohérentes
27,200500015041,2005-03-11,2005,mars,vendredi,18:45,33,33063,0.0,0.0,En agglomération,Intersection en X,3.0,Plein jour,Normale,4,A sens unique,1.0,Plat,1.0,0,80,Normale,0.0,Sur chaussée,Blessé léger,Féminin,22.0,Domicile - travail,3,9,0.0,2.0,1.0,5.0,200500015041A01,10,16,1.0,Cohérente,Non cohérentes
28,200500015062,2005-03-20,2005,mars,dimanche,14:10,33,33063,0.0,0.0,En agglomération,Intersection en X,3.0,Plein jour,Normale,4,A sens unique,1.0,Plat,1.0,0,33,Normale,0.0,Sur chaussée,Blessé hospitalisé,Masculin,39.0,Promenade - loisirs,3,9,0.0,2.0,3.0,1.0,200500015062B01,7,1,1.0,Cohérente,Non cohérentes
29,200500015074,2005-03-23,2005,mars,mercredi,14:15,33,33063,0.0,0.0,En agglomération,Hors intersection,3.0,Plein jour,Normale,4,A chaussées séparées,4.0,Plat,1.0,10,137,Normale,0.0,Sur chaussée,Blessé hospitalisé,Masculin,28.0,Non renseigné,3,9,14.0,0.0,1.0,1.0,200500015074B01,10,22,1.0,Cohérente,Non cohérentes
30,200500015075,2005-03-23,2005,mars,mercredi,15:35,33,33063,0.0,0.0,En agglomération,Hors intersection,3.0,Plein jour,Normale,4,Bidirectionnelle,3.0,Plat,1.0,0,90,Normale,0.0,Sur chaussée,Blessé léger,Féminin,16.0,Promenade - loisirs,3,9,0.0,2.0,8.0,19.0,200500015075A01,7,1,1.0,Cohérente,Non cohérentes
31,200500015081,2005-03-25,2005,mars,vendredi,19:53,33,33063,0.0,0.0,En agglomération,Hors intersection,3.0,Nuit avec éclairage public allumé,Normale,4,Bidirectionnelle,3.0,Plat,1.0,0,115,Normale,0.0,Sur chaussée,Blessé léger,Masculin,14.0,Non renseigné,3,9,1.0,0.0,1.0,1.0,200500015081B01,7,22,1.0,Cohérente,Non cohérentes
32,200500015090,2005-03-31,2005,mars,jeudi,75:0,33,33063,0.0,0.0,En agglomération,Hors intersection,3.0,Plein jour,Normale,4,A chaussées séparées,2.0,Plat,1.0,0,0,Normale,0.0,Sur chaussée,Blessé léger,Masculin,17.0,Non renseigné,3,9,1.0,0.0,0.0,1.0,200500015090B01,7,22,1.0,Non cohérente,Non cohérentes
33,200500015091,2005-03-31,2005,mars,jeudi,85:0,33,33063,0.0,0.0,En agglomération,Hors intersection,5.0,Plein jour,Normale,4,A sens unique,5.0,Plat,1.0,0,69,Normale,0.0,Sur chaussée,Blessé léger,Féminin,46.0,Promenade - loisirs,3,2,0.0,2.0,0.0,1.0,200500015091B01,7,22/1,2.0,Non cohérente,Non cohérentes
34,200500015092,2005-03-31,2005,mars,jeudi,16:50,33,33063,0.0,0.0,En agglomération,Intersection en X,1.0,Plein jour,Normale,4,Bidirectionnelle,4.0,Plat,1.0,0,66,Normale,0.0,Sur piste cyclable,Blessé hospitalisé,Masculin,79.0,Non renseigné,3,2,0.0,2.0,1.0,23.0,200500015092B01,7,19,1.0,Cohérente,Non cohérentes
35,200500015267,2005-03-30,2005,mars,mercredi,17:35,38,38185,0.0,0.0,En agglomération,Hors intersection,3.0,Plein jour,Normale,4,Bidirectionnelle,2.0,Plat,1.0,0,60,Normale,0.0,Sur piste cyclable,Blessé léger,Masculin,39.0,Promenade - loisirs,3,4,0.0,2.0,1.0,1.0,200500015267B01,7,16,1.0,Cohérente,Non cohérentes
36,200500015268,2005-03-30,2005,mars,mercredi,18:30,38,38185,0.0,0.0,En agglomération,Hors intersection,3.0,Plein jour,Normale,4,Bidirectionnelle,2.0,Plat,1.0,0,88,Normale,0.0,Sur chaussée,Blessé léger,Féminin,11.0,Promenade - loisirs,2,2,0.0,2.0,2.0,1.0,200500015268A01,1,1,1.0,Cohérente,Non cohérentes
37,200500015268,2005-03-30,2005,mars,mercredi,18:30,38,38185,0.0,0.0,En agglomération,Hors intersection,3.0,Plein jour,Normale,4,Bidirectionnelle,2.0,Plat,1.0,0,88,Normale,0.0,Sur chaussée,Blessé léger,Masculin,12.0,Promenade - loisirs,2,2,0.0,2.0,3.0,1.0,200500015268B01,1,1,1.0,Cohérente,Non cohérentes
38,200500015269,2005-03-30,2005,mars,mercredi,10:00,38,38185,0.0,0.0,En agglomération,Hors intersection,6.0,Plein jour,Normale,4,Bidirectionnelle,4.0,Plat,1.0,0,103,Normale,0.0,Sur piste cyclable,Blessé léger,Masculin,27.0,Autre,3,9,0.0,2.0,1.0,1.0,200500015269B01,7,13,1.0,Cohérente,Non cohérentes
39,200500016093,2005-03-11,2005,mars,vendredi,14:55,67,67482,0.0,0.0,En agglomération,Intersection en T,4.0,Plein jour,Normale,4,A sens unique,2.0,Plat,1.0,0,80,Normale,0.0,Sur chaussée,Indemne,Masculin,25.0,Promenade - loisirs,3,9,0.0,0.0,0.0,19.0,200500016093C01,14/ 7,1/23,2.0,Cohérente,Non cohérentes
